Date,Tweet
2017-03-21 13:32:00,SP500 short 22377 next 2381 and close small gap
2017-03-21 13:31:00,Market Open: Markets | SP500 2379.32 +7.02
2017-03-21 13:30:00,RT ToptraderYudee: My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 13:29:00,RT ToptraderYudee: My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 13:28:00,RT EPAtrader: Mellow SP500 Waves...  $spy 
2017-03-21 13:28:00,Highest scoring stories for SP500 under one watchlist $AAPL $WFC $XOM  
2017-03-21 13:25:00,SP500 open gap resistance 2376 2381 and algos close gap
2017-03-21 13:25:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 13:21:00,RT ToptraderYudee: My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 13:21:00,My TechnicalAnalysis work shows the SP500 is setting up for another move to the upsid heading up to 2425.
2017-03-21 13:10:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 13:09:00,RT isave2invest: Asset class benefiting most from 7 years of QE is Eurozone high yield debt followed by SP500 and US HighYieldZIRPÖ
2017-03-21 12:59:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 12:55:00,4 reasons why you should trade crudeoil with NSFX  trading forex oil OPEC SP500Ö 
2017-03-21 12:48:00,No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:43:00,RT PortfolioBuzz: Trading indices? Check stories for the major constituents of SP500 $CVX $PG $JPM  
2017-03-21 12:40:00,Trading indices? Check stories for the major constituents of SP500 $CVX $PG $JPM  
2017-03-21 12:40:00,Trend Update: $VTI SP400 SP600 NASDAQ DJIA DOW SP500 RUSSELL2000  continue to be Bullish mid term. 
2017-03-21 12:37:00,RT Stonewoodforge: Despite Financial Engineering &amp; Reporting Schemes S&amp;P 500 Earnings per Share Stuck for 3+ Years but Stocks Soar  
2017-03-21 12:33:00,IMPRESSIVE: SP100 Volatility falling faster than SP500 (daily ratio of VXO / VIX -blue) Complacency? marketsÖ 
2017-03-21 12:33:00,RT IWBank_it: WallStreet Futures h 12:52 SP500 2.37475<U+25B2>019% Nasdaq 5.43025<U+25B2>022% DowJones 20.885<U+25B2>008% USA
2017-03-21 12:33:00,The S&amp;P 500 and Dow have now gone 109 days without a 1% decline sp500 dowjones stocks investments MarketWatch  
2017-03-21 12:32:00,TommyThornton what do u <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>?
2017-03-21 12:27:00,No This Is Not An 8-Year Bull Market For The S&amp;P500 STOP Cherry-picking facts to suit your agenda!!!  
2017-03-21 12:22:00,RT IWBank_it: WallStreet Futures h 12:52 SP500 2.37475<U+25B2>019% Nasdaq 5.43025<U+25B2>022% DowJones 20.885<U+25B2>008% USA
2017-03-21 12:22:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 12:21:00,No This Is Not An 8-Year Bull Market For The S&amp;P500 Cherry pick your narrative much??? 
2017-03-21 12:19:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 12:19:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 12:17:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:14:00,$SPY No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:09:00,RT Chicagostock: Globex 2369. SP500 March 1 high.  FOMC retest of that high.  Don't want to lose Tuesday's 54 low otherwise FOMC = failedÖ
2017-03-21 12:03:00,Despite Financial Engineering &amp; Reporting Schemes S&amp;P 500 Earnings per Share Stuck for 3+ Years but Stocks Soar  
2017-03-21 12:03:00,Very good piece I am exhausted by this media falsehood--No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 12:03:00,Tuesday March 21 2017 TODAY's stock trends:  nasdaq wallstreet nyse sp500 bloomberg foxbusiness cnbc wsj
2017-03-21 12:00:00,A technical analyst explains why This Is Not An 8-Year Bull Market For The S&amp;P 500 
2017-03-21 11:55:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:52:00,WallStreet Futures h 12:52 SP500 2.37475<U+25B2>019% Nasdaq 5.43025<U+25B2>022% DowJones 20.885<U+25B2>008% USA
2017-03-21 11:39:00,The Equity Markets Would Like to Rally but Washington is a Barrier - stocks SP500 nasdaq - 
2017-03-21 11:37:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:34:00,RT DaveAurelio: The Week in Earnings | Feb. 24 | 3 $SPX companies expected to miss Q4 earnings next week. Lipper_Alpha $SPY SP500 
2017-03-21 11:33:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 11:33:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 11:30:00,RT michaelbatnick: The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:28:00,The bull market is eight years old. NOT!  allstarcharts 
2017-03-21 11:15:00,$COST:US  Costco Sues Titleist In Battle Over Golf Balls COSTCO WHOLESALE CORP   SP500
2017-03-21 11:14:00,$RHT:US IBM Red Hat collaborates to accelerate Cloud adoption RED HAT INC   SP500
2017-03-21 11:12:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 11:10:00,Trend Update: $VTI SP400 NASDAQ DJIA DOW SP500 RUSSELL2000  continue to be Bullish short term. 
2017-03-21 10:47:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 10:43:00,RT allstarcharts: No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 10:40:00,$SPX SP500 SP500 future the 30 DJIA components and 19 sectors DAILY REVIEW  trading 
2017-03-21 10:35:00,No This Is Not An 8-Year Bull Market For The S&amp;P500 
2017-03-21 10:32:00,RT cryptonext: Long or Short the NASDAQ using Bitcoin. Max leverage 20. SP500 |  
2017-03-21 10:25:00,Daily Review SP500 $SPX DJIA Trend analysisfuture equity sector dowjones 
2017-03-21 10:07:00,Are you Bullish or Bearish on the S&amp;P 500? Start Trading with Bitcoin. 20:1 Leverage. Stocks $SPY $ES $ES_FÖ 
2017-03-21 10:02:00,Weekly S&amp;P500 Stocks Trend $STX $URI $WYNN $PHM $RCL $MU $GLW $SHW $VRTX $FLR $DOW $DD $NSC $KLAC $ADI $FDX   
2017-03-21 10:02:00,Weekly S&amp;P500 Stocks Performance $STX $URI $WYNN $PHM $RCL $WDC $DHI $MU $CSX $AVGO $GLW $SHW $NVDA $VRTX more 
2017-03-21 09:45:00,RT penelopelmf: Valudaily: Technicals to watch for DAX30 and SP500:  broker forex trading mt4 httÖ
2017-03-21 09:45:00,RT Valutrades: Valudaily: Technicals to watch for DAX30 and SP500:  broker forex trading mt4 
2017-03-21 09:43:00,Long or Short the NASDAQ using Bitcoin. Max leverage 20. SP500 |  
2017-03-21 09:40:00,Despite Financial Engineering&amp;Clever Reporting Schemes S&amp;P 500Earnings per Share Stuck for 3+ Yrs but Stocks Soar  
2017-03-21 09:36:00,Despite Financial Engineering &amp; Clever Reporting Schemes S&amp;P 500 Earnings  Stuck for 3+ Years but Stocks Soar.    
2017-03-21 09:32:00,Valudaily: Technicals to watch for DAX30 and SP500:  broker forex tradingÖ 
2017-03-21 09:32:00,Valudaily: Technicals to watch for DAX30 and SP500:  broker forex tradingÖ 
2017-03-21 09:10:00,DA_Stockman Shouldn't the title be: Net Hoovering of Equities?   GAAP EPS are flat back to 2012 for SP500 so it didn't totally suck!!
2017-03-21 09:08:00,SP500 still in uptrend; Support at 2365 then 2354
2017-03-21 08:44:00,Market Update  Weidmann Evans Brexit FBI BNP Porsche Nike SP500Ö 
2017-03-21 08:39:00,Based on the latest 21-year period 21st of March is regarded as a very Bearish day. Maybe the -1% decline-day is coming today?  SP500
2017-03-21 08:02:00,SP500 Technical Profile Status for 21MAR2017 GMT0800 stocks $ES_F 
2017-03-21 07:56:00,SP500 short area 23750 80 go
2017-03-21 07:54:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 07:54:00,RT BO360com: How to get started with BO360!  binaryoptions trading FMQs fed draghi yellen SP500 OPEC 
2017-03-21 07:51:00,RT NSFX_Trading: Invest in indices with NSFX!  forex trading dowjones OPEC oil crudeoil WTI ICE SP500 Ö
2017-03-21 07:50:00,RT NSFX_Trading: Invest in indices with NSFX!  forex trading dowjones OPEC oil crudeoil WTI ICE SP500 Ö
2017-03-21 07:42:00,RT PortfolioBuzz: Highest scoring stories for SP500 under one watchlist $AAPL $WFC $XOM  
2017-03-21 07:26:00,Adobe Adobe US Stock long bias at weekly and daily demand levels. adobe nasdaq SP500 dowjones StockMarket 
2017-03-21 07:22:00,Long or Short the S&amp;P 500 using Bitcoin. Max leverage 20. SP500 | 
2017-03-21 06:59:00,S&amp;P 500 Futures: No 1% Declines In 108 Trading Days S&amp;P500 ESM -  
2017-03-21 06:57:00,Highest scoring stories for SP500 under one watchlist $AAPL $WFC $XOM  
2017-03-21 06:31:00,Hey do you know everything while trading SP500? $GOOG $JNJ $GE  
2017-03-21 06:30:00,DailyDAX ñ Di 21.03.2017  dailydax dax dowjones sp500 nasdaq indizes boerse trading finanzen aktien /SS
2017-03-21 06:19:00,LEGO LEGOStarWars StarWars 10179  Millennium Falcon AFOL LEGObricks VintageLEGO CollectibleLEGO Toys SP500 
2017-03-21 06:17:00,Despite Financial Engine'ring &amp; Clever Reporting Schemes S&amp;P500 Earnings per Share Stuck for 3+Yrs but Stocks Soar 
2017-03-21 06:15:00,Trade Cash CFDs &amp; Indices with HydraMarkets  DAX FTSE SP500 Nasdaq EUR50 FRA40 
2017-03-21 05:57:00,US equity  indices (SP500 DJ NASDAQ) to experiance upward trend during the coming few days Paranormal Parapsychology
2017-03-21 05:42:00,RT dwyerstrategy: 2/2 we raised our SP500 target to 2470 to buy pullback as corp sentiment should bring incr spending and multiple. Sml bÖ
2017-03-21 05:19:00,Despite Financial Engineering &amp; Clever Reporting Schemes S&amp;P 500 Earnings per Share Stuck for 3+ YearsStocks Soar  
2017-03-21 05:03:00,Gradual &amp; less rife Fed dulls Yields USD &amp; Banks. TelcosResources<U+2191>. $CAT+2.6% can't buoy Industrials.NASDAQ+0.01% DJIA SP500 -0.04% -0.20%
2017-03-21 05:02:00,RT trading: Oil surges so energy stocks advance banks up due to potential interest rate rise but biotech DOWN.
2017-03-21 04:48:00,RT JarmoKuismanen: $FSLR and $SPWR are delisted today from SP500 -index= $SPY is selling with very high volume (have to)= most likely vÖ
2017-03-21 04:27:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 04:13:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 03:54:00,RT americaformom: RT4MOM<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> SP500 Blooomberg Forbes Trading  TY 
2017-03-21 03:53:00,RT americaformom1: RT4MOM<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> Ö worldnews BOYCOTT<U+261E>WRBERKLEY SP500 Bloomberg Forbes  httÖ
2017-03-21 03:53:00,RT americaformom1: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY Blooomberg NASDAQ Trading SP500 WallStreet Business  NYSE htÖ
2017-03-21 03:40:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 03:30:00,RT IchimokuCo: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 03:30:00,RT FXTraderHub: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 03:30:00,RT ichimokucharts: FREE Chart of the Day Ichimoku Candlestick and Fibonacci analysis for March 20th 2017 - 
2017-03-21 03:20:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 03:15:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 03:13:00,RT americaformom: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NASDAQ SP500 WallStreet Business Stockmarket Stocks NYSE  httÖ
2017-03-21 03:13:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
2017-03-21 03:08:00,RT americaformom1: RT4Mom<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NASDAQ SP500 WallStreet Business Stockmarket Trading NYSE  htÖ
2017-03-21 03:07:00,RT americaformom1: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NASDAQ SP500 WallStreet Business Stockmarket Stocks NYSE  htÖ
2017-03-21 03:07:00,RT americaformom1: RT4 Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>BOYCOTT<U+261E>WRBERKLEY NYSE NASDAQ Trading DowJones SP500 WallStreet Business  httÖ
2017-03-21 03:07:00,LEGO LEGOStarWars StarWars 10143 Death Star II AFOL LEGObricks VintageLEGO CollectibleLEGO Toys SP500 
2017-03-21 03:06:00,RT 18dMedia: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P 500 Earnings Stagnate for 3+ YearsÖ  18DMediÖ
2017-03-21 03:06:00,RT wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  
