Date,Neg_T_Sentiment,Neut_T_Sentiment,Number_of_Tweets,Pos_T_Sentiment
2017-03-01,0.0,0.0,0,0.0
2017-03-02,0.0,0.0,0,0.0
2017-03-03,0.0,0.0,0,0.0
2017-03-04,0.0,0.0,0,0.0
2017-03-05,0.0,0.0,0,0.0
2017-03-06,0.0,0.0,0,0.0
2017-03-07,0.0,0.0,0,0.0
2017-03-08,0.0,0.0,0,0.0
2017-03-09,0.0,0.0,0,0.0
2017-03-10,0.0,0.0,0,0.0
2017-03-11,0.5,0.5,2,0.0
2017-03-12,0.225806451613,0.564516129032,62,0.209677419355
2017-03-13,0.0851063829787,0.659574468085,188,0.255319148936
2017-03-14,0.231638418079,0.491525423729,177,0.276836158192
2017-03-15,0.112582781457,0.582781456954,151,0.304635761589
2017-03-16,0.177419354839,0.443548387097,124,0.379032258065
2017-03-17,0.2,0.4,85,0.4
2017-03-18,0.180327868852,0.393442622951,61,0.426229508197
2017-03-19,0.15,0.65,40,0.2
2017-03-20,0.174757281553,0.563106796117,103,0.26213592233
2017-03-21,0.142857142857,0.52380952381,63,0.333333333333
2017-03-22,0.0,0.0,0,0.0
2017-03-23,0.0,0.0,0,0.0
2017-03-24,0.0,0.0,0,0.0
2017-03-25,0.0,0.0,0,0.0
2017-03-26,0.0,0.0,0,0.0
2017-03-27,0.0,0.0,0,0.0
2017-03-28,0.0,0.0,0,0.0
2017-03-29,0.0,0.0,0,0.0
2017-03-30,0.0,0.0,0,0.0
2017-03-31,0.1,0.5,50,0.4
2017-04-01,0.0588235294118,0.627450980392,51,0.313725490196
2017-04-02,0.0512820512821,0.512820512821,39,0.435897435897
2017-04-03,0.206106870229,0.488549618321,131,0.30534351145
2017-04-04,0.141509433962,0.528301886792,106,0.330188679245
2017-04-05,0.089552238806,0.641791044776,134,0.268656716418
2017-04-06,0.194029850746,0.582089552239,134,0.223880597015
2017-04-07,0.158878504673,0.607476635514,107,0.233644859813
2017-04-08,0.0,0.0,0,0.0
2017-04-09,0.0,0.0,0,0.0
2017-04-10,0.17,0.55,100,0.28
2017-04-11,0.246031746032,0.47619047619,126,0.277777777778
2017-04-12,0.172727272727,0.618181818182,110,0.209090909091
2017-04-13,0.153846153846,0.589743589744,78,0.25641025641
2017-04-14,0.0,0.0,0,0.0
2017-04-15,0.0,0.0,0,0.0
2017-04-16,0.0,0.0,0,0.0
2017-04-17,0.0,0.0,0,0.0
2017-04-18,0.0,0.0,0,0.0
2017-04-19,0.0,0.0,0,0.0
2017-04-20,0.0,0.0,0,0.0
2017-04-21,0.0,0.0,0,0.0
2017-04-22,0.0,0.0,0,0.0
2017-04-23,0.0,0.0,0,0.0
2017-04-24,0.0,0.0,0,0.0
2017-04-25,0.0,0.0,0,0.0
2017-04-26,0.0,0.0,0,0.0
2017-04-27,0.0,0.0,0,0.0
2017-04-28,0.0,0.0,0,0.0
2017-04-29,0.0,0.0,0,0.0
2017-04-30,0.0,0.0,0,0.0
2017-04-31,0.0,0.0,0,0.0
