text,date
RT @americaformom1: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#BOYCOTT<U+261E>#WRBERKLEY #NASDAQ #SP500 #WallStreet #Business #Stockmarket #Stocks #NYSE https://t.co/3IuLrhsAwM ht…,21/03/2017 13:50
RT @americaformom: RT4Mom<U+2665><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>#BOYCOTT<U+261E>#WRBERKLEY #NASDAQ #SP500 #WallStreet #Business #Stockmarket #stocks #NYSE https://t.co/GXJPBWl6UF htt…,21/03/2017 13:49
Caterpillar Inc (NYSE:CAT) gains 2.68% on Monday-Top10 Best Performer in SP500 #NYSE #CAT https://t.co/PjdlxUjwws,21/03/2017 13:49
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 13:49
NVIDIA (NASDAQ:NVDA) gains 3.19% on Monday-Top10 Best Performer in SP500 #NASDAQ #NVDA https://t.co/lCDlGCLmP8,21/03/2017 13:47
CF Industries (NYSE:CF) gains 3.76% on Monday-Top10 Best Performer in SP500 #NYSE #CF https://t.co/bUeOF9zCNZ,21/03/2017 13:45
CONSOL Energy (NYSE:CNX) gains 4.17% on Monday-Top10 Best Performer in SP500 #NYSE #CNX https://t.co/41BVwEesg6,21/03/2017 13:43
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 13:43
"Trend Update: $VTI, #SP400, #SP600, #NASDAQ, #DJIA #DOW, #SP500, #RUSSELL2000,  continue to be Bullish, long term. https://t.co/qCn5v0xIz2",21/03/2017 13:40
"RT @ToptraderYudee: My #TechnicalAnalysis work shows the #SP500 is setting up for another move to the upsid, heading up to 2,425.",21/03/2017 13:32
RT @SPDJIndices: Market Open: #Markets | SP500 2379.32 +7.02,21/03/2017 13:32
SP500 short 22377 next 2381 and close small gap,21/03/2017 13:32
Market Open: #Markets | SP500 2379.32 +7.02,21/03/2017 13:31
"RT @ToptraderYudee: My #TechnicalAnalysis work shows the #SP500 is setting up for another move to the upsid, heading up to 2,425.",21/03/2017 13:30
"RT @ToptraderYudee: My #TechnicalAnalysis work shows the #SP500 is setting up for another move to the upsid, heading up to 2,425.",21/03/2017 13:29
RT @EPAtrader: Mellow SP500 Waves...  $spy https://t.co/hkhXvGSnse,21/03/2017 13:28
Highest scoring stories for #SP500 under one watchlist $AAPL $WFC $XOM https://t.co/Rwpf6Sogpu&gt; https://t.co/J0fEFwiZkk,21/03/2017 13:28
SP500 open gap resistance 2376 2381 and algos close gap,21/03/2017 13:25
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 13:25
"RT @ToptraderYudee: My #TechnicalAnalysis work shows the #SP500 is setting up for another move to the upsid, heading up to 2,425.",21/03/2017 13:21
"My #TechnicalAnalysis work shows the #SP500 is setting up for another move to the upsid, heading up to 2,425.",21/03/2017 13:21
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 13:10
"RT @isave2invest: Asset class benefiting most from 7 years of #QE is #Eurozone high yield debt, followed by #SP500 and US #HighYield
#ZIRP…",21/03/2017 13:09
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 12:59
4 reasons why you should trade #crudeoil with #NSFX https://t.co/HJQMH3FueB #trading #forex #oil #OPEC #SP500… https://t.co/LYJR7PPxl6,21/03/2017 12:55
"No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/PMklwlfJOL",21/03/2017 12:48
RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/i…,21/03/2017 12:43
Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/ioqvrjwtHW,21/03/2017 12:40
"Trend Update: $VTI, #SP400, #SP600, #NASDAQ, #DJIA #DOW, #SP500, #RUSSELL2000,  continue to be Bullish, mid term. https://t.co/qCn5v0xIz2",21/03/2017 12:40
"RT @Stonewoodforge: Despite Financial Engineering &amp; Reporting Schemes, S&amp;P 500 Earnings per Share Stuck for 3+ Years, but Stocks Soar  http…",21/03/2017 12:37
"IMPRESSIVE: SP100 #Volatility falling faster than #SP500 (daily ratio of VXO / #VIX -blue) Complacency? 
#markets… https://t.co/j9rHgXYxIg",21/03/2017 12:33
"RT @IWBank_it: #WallStreet Futures h 12:52 SP500 2.374,75<U+25B2>0,19% 
Nasdaq 5.430,25<U+25B2>0,22% DowJones 20.885<U+25B2>0,08%
https://t.co/tfIRzytHol #USA",21/03/2017 12:33
The S&amp;P 500 and Dow have now gone 109 days without a 1% decline #sp500 #dowjones #stocks #investments MarketWatch  https://t.co/MvKPu7mphU,21/03/2017 12:33
@TommyThornton what do u <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>?https://t.co/ZRCniTGvkd,21/03/2017 12:32
"No, This Is Not An 8-Year Bull Market For The S&amp;P500 STOP Cherry-picking facts to suit your agenda!!!  https://t.co/J0miI22Chr",21/03/2017 12:27
"RT @IWBank_it: #WallStreet Futures h 12:52 SP500 2.374,75<U+25B2>0,19% 
Nasdaq 5.430,25<U+25B2>0,22% DowJones 20.885<U+25B2>0,08%
https://t.co/tfIRzytHol #USA",21/03/2017 12:22
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 12:22
"No, This Is Not An 8-Year Bull Market For The S&amp;P500 Cherry pick your narrative much??? https://t.co/rX2ph2uXOD",21/03/2017 12:21
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 12:19
"RT @wolfofwolfst: Despite Financial Engineering &amp; Fanciful Reporting, S&amp;P500 Earnings Stagnate 3+ Years but Stocks Soar 33%  https://t.co/z…",21/03/2017 12:19
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 12:17
"$SPY No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/uhSRe0Fj7h",21/03/2017 12:14
RT @Chicagostock: Globex 2369. SP500 March 1 high.  FOMC retest of that high.  Don't want to lose Tuesday's 54 low otherwise FOMC = failed…,21/03/2017 12:09
"Despite Financial Engineering &amp; Reporting Schemes, S&amp;P 500 Earnings per Share Stuck for 3+ Years, but Stocks Soar  https://t.co/yS7Nv8AqGG",21/03/2017 12:03
"Very good piece I am exhausted by this #media falsehood--No, This Is Not An 8-Year Bull #Market For The S&amp;P500 https://t.co/ngPu6GtMUy",21/03/2017 12:03
"Tuesday, March 21, 2017, TODAY's stock trends: https://t.co/WI4vFE9Zvn #nasdaq #wallstreet #nyse #sp500 #bloomberg #foxbusiness #cnbc #wsj",21/03/2017 12:03
"A technical analyst explains why ""This Is Not An 8-Year Bull Market For The S&amp;P 500"" https://t.co/P1P6cOn6i9",21/03/2017 12:00
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 11:55
"#WallStreet Futures h 12:52 SP500 2.374,75<U+25B2>0,19% 
Nasdaq 5.430,25<U+25B2>0,22% DowJones 20.885<U+25B2>0,08%
https://t.co/tfIRzytHol #USA",21/03/2017 11:52
The Equity Markets Would Like to Rally but Washington is a Barrier - #stocks #SP500 #nasdaq - https://t.co/Yol5cjHZJF,21/03/2017 11:39
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 11:37
RT @DaveAurelio: The Week in Earnings | Feb. 24 | 3 $SPX companies expected to miss Q4 #earnings next week. @Lipper_Alpha $SPY #SP500 https…,21/03/2017 11:34
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 11:33
"RT @allstarcharts: No, This Is Not An 8-Year Bull Market For The S&amp;P500 https://t.co/sAsj9M0pHf",21/03/2017 11:33
"RT @michaelbatnick: The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 11:30
"The bull market is eight years old. NOT! 

https://t.co/qv5Emg2rdP

By @allstarcharts https://t.co/yLPobKxviL",21/03/2017 11:28
