2017-04-13 16:13:05,"Cebu's Labor Day WKND: Sports, Lifestyle and Music Festival 😎

Last day to grab your two day pass for only P500!... https://t.co/M1YpRJBnbF"
2017-04-13 16:12:29,S&amp;P500 CALL option starts at 12.00 EST and expires at 12.15. Trade at https://t.co/q0ULjgCiZy
2017-04-13 16:04:57,"Man dragged off United flight has concussion, will file suit, lawyer says - CNN https://t.co/OL3q9EzbAK https://t.co/44cLfGRnKN"
2017-04-13 16:04:51,Report: Uber Had Yet Another Secret Tracking Program Called 'Hell' - Gizmodo https://t.co/987T3uQvZg https://t.co/LvhJClZe4X
2017-04-13 15:57:17,RT @UPBOptionMil: S&amp;P500 futures https://t.co/lvefbAylrE
2017-04-13 15:56:55,S&amp;P500 futures https://t.co/lvefbAylrE
2017-04-13 15:50:14,"RT @parksyien: ❄[PH G.O] @mybabypeach_jy's 1st Cheering Set❄

 🍑 price: P500-P1200
 🍑 deadline: april 28, 2017
 🍑 form: https://t.co/CMbnwx…"
2017-04-13 15:48:48,"RT @parksyien: ❄[PH G.O] @mybabypeach_jy's 1st Cheering Set❄

 🍑 price: P500-P1200
 🍑 deadline: april 28, 2017
 🍑 form: https://t.co/CMbnwx…"
2017-04-13 15:45:04,Here's an app to visualize Box and Whiskers plot of the S&amp;P500 stocks #fintech https://t.co/pqoPfXspNL https://t.co/NZUrdI2ZzR
2017-04-13 15:44:13,"Loan growth stalls despite profit, trading gains at some big banks https://t.co/WlYVFZfOP4 Business News https://t.co/FrzAHgiUKW"
2017-04-13 15:37:47,"RT @daniburgr: Guggenheim's @ScottMinerd says S&amp;P500 will fall to 1650 pts this qtr, aka another 10% (!) from where it is now https://t.co/…"
2017-04-13 15:31:43,Instagram Stories Is Finally Bigger Than Snapchat After Copying Many of Its Features - Adweek… https://t.co/RfrPw0fvco
2017-04-13 14:58:16,Warren Buffett cuts his stake in Wells Fargo - CNNMoney https://t.co/Jt82F3Hc3j https://t.co/gU3NkyMrLQ
2017-04-13 14:58:12,Pioneering New York judge's body found in Hudson River - MarketWatch https://t.co/uZMBm9m4ky https://t.co/XUNeaIHnK7
2017-04-13 14:55:47,"RT @tracyalloway: While y'all were watching the VIX tick up, the Credit Suisse Fear Barometer (measures S&amp;P500 skew) surged to a record thi…"
2017-04-13 14:08:08,Bank of America Previews Q1 S&amp;P500 Earnings@offshore stockbroker https://t.co/7Iw3izPBPX
2017-04-13 13:50:15,US weekly jobless claims point to tightening labor market - Reuters https://t.co/NZgwaBpFQC https://t.co/WHcBUMjY0w
2017-04-13 13:39:41,"RT @Mark_J_Perry: Just Out: SPIVA Scorecard Report Shows that Over Last 15 Years, Only 7.85% (1 in 13) of Active Funds Beat the S&amp;P500 http…"
2017-04-13 13:34:53,RT @UPBOptionMil: S&amp;P500 futures https://t.co/WaDDRUyGpX
2017-04-13 13:26:40,RT @UPBOptionMil: S&amp;P500 futures https://t.co/WaDDRUyGpX
2017-04-13 13:26:32,RT @UPBOptionMil: S&amp;P500 futures https://t.co/WaDDRUyGpX
2017-04-13 13:25:53,RT @UPBOptionMil: S&amp;P500 futures https://t.co/WaDDRUyGpX
2017-04-13 13:24:49,S&amp;P500 futures https://t.co/WaDDRUyGpX
2017-04-13 13:18:15,US weekly jobless claims total 234000 vs 245000 estimate - CNBC https://t.co/qhAZozcVry https://t.co/FePS0TCQ5v
2017-04-13 13:18:11,"US wholesale inflation falls for first time in 7 months, PPI shows - MarketWatch https://t.co/hVk9KclpGC https://t.co/jL4iQDOjxD"
2017-04-13 12:43:48,US jobless claims unexpectedly fall as labor market remains firm - Reuters https://t.co/VqBOdQ395p https://t.co/EQI0yLqSN6
2017-04-13 12:43:46,Wells Fargo beats on earnings as lending falls - Business Insider https://t.co/ObhjI5To1z https://t.co/gzOFTQQRrt
2017-04-13 12:34:54,RT @spectatorindex: BREAKING: United Airlines stock plunges by over 4% and is S&amp;P500's worst performer today
2017-04-13 12:34:04,@felixsalmon @EddyElfenbein S&amp;P500 tends to outperform a total-market fund? I thought the increased diversification helps in the long run?
